Key	en	ar	es	pt	id	ru	fr	th	ko
T_INBOX	Inbox	البريد	Buzón	Caixa de entrada	Kotak Masuk	Входящие	Boîte de réception	กล่องจดหมาย	우편함
T_DAILY_GIFT	Daily Gift	هدية يومية	Regalo diario	Presente diário	Hadiah Harian	Ежедневный подарок	Cadeau du jour	ของขวัญประจำวัน	일일 선물
T_GOLD_INSUFFICIENT	Not enough gold	لا يوجد ذهب كافٍ	Oro insuficiente	Ouro insuficiente	Emas tidak cukup	Недостаточно золота	Pas assez d'or	ทองไม่เพียงพอ	골드가 부족합니다
T_UNLOCK_AT	Unlocks at Level {0}	يفتح عند المستوى {0}	Se desbloquea en el nivel {0}	Desbloqueio no nível {0}	Terbuka di Level {0}	Откроется на уровне {0}	Débloqué au niveau {0}	ปลดล็อคที่ระดับ {0}	레벨 {0}에서 해금
T_FAILED_TO_LOAD_AD	Failed to load ad	فشل تحميل الإعلان	Error al cargar el anuncio	Falha ao carregar anúncio	Gagal memuat iklan	Не удалось загрузить рекламу	Échec du chargement de la pub	โหลดโฆษณาไม่สำเร็จ	광고 로드에 실패했습니다
T_ERROR_PAYMENT_NOT_AVAILABLE	Payment not available	الدفع غير متاح	Pago no disponible	Pagamento indisponível	Pembayaran tidak tersedia	Оплата недоступна	Paiement indisponible	ไม่สามารถชำระเงินได้	결제를 사용할 수 없습니다
T_ERROR_PRODUCT_NOT_FOUND	Product not found	المنتج غير موجود	Producto no encontrado	Produto não encontrado	Produk tidak ditemukan	Товар не найден	Produit introuvable	ไม่พบสินค้า	상품을 찾을 수 없습니다
T_ERROR_PURCHASE_FAILED	Purchase failed	فشلت عملية الشراء	Compra fallida	Compra falhou	Pembelian gagal	Покупка не удалась	Achat échoué	การซื้อล้มเหลว	구매에 실패했습니다
T_INBOX_FRIENDS_GIFT_DESC	A gift from your friend!	هدية من صديقك!	¡Un regalo de tu amigo!	Um presente do seu amigo!	Hadiah dari temanmu!	Подарок от друга!	Un cadeau de votre ami !	ของขวัญจากเพื่อนของคุณ!	친구가 보낸 선물입니다!
T_SPECIAL_OFFER_1_TITLE	Starter Pack	حزمة البداية	Pack inicial	Pacote inicial	Paket Pemula	Стартовый набор	Pack de démarrage	แพ็คเริ่มต้น	스타터 팩
T_SPECIAL_OFFER_2_TITLE	Mega Value Pack	حزمة القيمة الضخمة	Pack Mega Valor	Pacote Mega Valor	Paket Mega Hemat	Мега набор	Pack Méga Valeur	แพ็คคุ้มค่ามาก	메가 밸류 팩
T_SPECIAL_OFFER_3_TITLE	City Builder Pack	حزمة بناء المدينة	Pack Constructor	Pacote Construtor	Paket Pembangun Kota	Набор строителя	Pack Bâtisseur	แพ็คสร้างเมือง	시티 빌더 팩
